Date,Biomass,Cross border electricity trading,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Fossil oil shale,Fossil peat,Geothermal,Hydro Run-of-River,Hydro pumped storage,Hydro pumped storage consumption,Hydro water reservoir,Load,Nuclear,Other renewables,Others,Renewable share of generation,Renewable share of load,Residual load,Solar,Waste,Wind offshore,Wind onshore
2022-02-01,10026.167559523808,297.10796130952383,24411.28958333333,672.9244047619047,41047.90603085929,17528.93702290425,1491.018263258251,414.83809523809526,705.4653273809524,673.3785714285714,15969.607738095237,3540.583630952381,-4787.902083333333,13935.800148809523,167328.42847622352,81448.66428571429,494.5206845238095,6652.006271800374,85.4221326780457,83.80973179870931,122468.0744254796,12314.158928571429,2709.3659226190475,9124.98943452381,33705.98445732016
2022-03-01,10025.61182795699,920.4731182795699,29349.96196236559,763.6694892473118,43719.529177065044,22043.368879109777,1557.9358111125023,643.9143817204301,618.550134408602,666.3537634408602,14685.344086021507,3753.839247311828,-4130.461290322581,14193.649462365593,157107.9278950885,73265.84744623657,500.3645161290322,6761.0667539875185,59.17247226939546,54.201333218943034,125086.68704221348,18017.756586021507,2832.5170698924735,3893.1463709677423,20809.0946851407
2022-04-01,9651.328194444444,51.98395833333337,24338.11986111111,689.1776388888889,20500.3923929041,10180.42096269733,762.913882602679,329.33152777777775,518.8898611111111,662.9026388888889,18730.5675,3589.0044444444443,-4448.930972222222,13543.332499999999,144413.2953447725,65671.04819444445,484.6955555555556,4279.441130999163,63.702990861806164,57.67664178829616,107941.67928862594,22832.82277777778,2593.5956944444447,5247.725555555556,22418.46965978004
2022-05-01,9018.544758064516,10.474126344086041,23436.661827956992,704.5373655913978,20685.29961808372,8392.688644665599,776.204838397704,409.00443548387096,541.3856182795699,644.9915322580645,21606.90443548387,3362.40376344086,-3820.745430107527,13281.66935483871,136325.56661781456,57409.54287634409,487.9818548387097,3582.123586733845,66.77309427493883,62.1129857763424,103771.282782801,28264.636021505376,2502.759139784946,3931.3760752688167,16431.322074528747
2022-06-01,8780.83236111111,488.4797222222222,25356.788194444445,911.465,24471.181041632408,9772.840688067461,643.8529709631,385.2688888888889,411.2530555555556,618.3816666666667,19072.048611111113,3641.3980555555554,-3897.9683333333332,13814.997083333332,139168.2812219676,59275.487916666665,462.8077777777778,3356.956892734779,60.49727619316819,56.31524912554469,109173.99593710579,29599.96375,2428.508611111111,3217.8933333333334,13443.274745563094
2022-07-01,8699.401612903226,729.0469086021506,25005.77930107527,865.057123655914,26731.02947853815,10456.416655153875,678.5887148444176,344.1323924731183,217.06908602150537,629.5974462365591,15321.977419354838,3752.3423387096777,-4439.897849462366,13588.370564516128,142246.9921158797,58998.69556451613,453.6100806451613,3109.7316950160052,52.733344776656836,44.08298167272923,109998.59647386071,29957.432392473118,2563.4114247311827,4245.7944892473115,14785.522041897542
2022-08-01,8721.260752688171,1052.8728494623656,25854.29758064516,847.3145161290323,25906.96277845975,11300.555241241078,616.0606581164816,306.4412634408602,306.3258064516129,633.7577956989248,13032.359677419356,3431.804301075269,-4092.4149193548387,13124.580376344085,135568.80758479107,58188.97822580645,436.4284946236559,3018.298493863315,48.918995495674714,41.931507791904636,107497.72702786158,27416.192741935483,2473.8147849462366,2653.834946236559,12749.05153759741
2022-09-01,9185.439027777778,-1627.725625,25179.54986111111,879.43,24032.069150413714,12255.29244533097,832.7257018321512,480.2298611111111,279.8261111111111,632.9347222222223,13402.275555555556,3649.407361111111,-4470.234305555556,12702.079722222223,135976.83023360922,59562.379166666666,453.0202777777778,3036.44338356974,53.92744976359338,46.746421149515506,106786.99807069305,20630.269583333335,2497.8975,4995.7868055555555,16178.843775118203
2022-10-01,8681.952419354839,-950.7641801075268,23982.44193548387,812.9061827956989,29683.23880024968,11276.281726413716,1042.4642286425221,478.8858870967742,355.14274193548385,634.7345430107526,13739.217069892473,3822.952688172043,-5007.0646505376335,10656.247715053763,134345.96189927272,58491.97580645161,457.8138440860215,3821.38065961173,68.8293496505023,65.9071762395998,101996.00038404886,15299.48064516129,2475.5397849462365,6208.577419354839,26083.710147111593
2022-11-01,9357.974166666665,530.9241666666666,26618.545833333334,821.4227777777778,25357.365244643475,12645.870648920209,896.0509492259164,617.6875,477.49319444444444,638.9179166666667,15252.188055555556,4357.179166666667,-5232.835416666667,13984.492083333334,147049.83595111055,64380.50125,451.1629166666667,3514.3374965695343,70.98590963442628,70.5155145647937,113685.7615259131,8834.124583333332,2474.54875,7794.62125,25277.269551156027
