Date,Battery,Battery Consumption,Biomass,Cross border electricity trading,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Fossil oil shale,Fossil peat,Geothermal,Hydro Run-of-River,Hydro pumped storage,Hydro pumped storage consumption,Hydro water reservoir,Load,Nuclear,Other renewables,Others,Renewable share of generation,Renewable share of load,Residual load,Solar,Waste,Wind offshore,Wind onshore
2023-11-10,,,8294.454166666666,4581.720833333334,24714.67916666667,1437.4291666666668,17345.325,7979.220833333333,616.8833333333333,296.17083333333335,259.1125,601.9958333333333,24780.720833333336,6388.495833333333,-4957.829166666666,20082.841666666667,154113.48541666666,68246.33333333333,455.93333333333334,3181.0625,59.083333333333336,37.91458333333333,110699.49583333333,10047.341666666667,2541.929166666667,8852.525,33964.052083333336
2023-11-11,,,8183.724999999999,4826.46875,23152.979166666668,1407.5666666666666,14090.358333333335,7421.347916666667,705.4354166666667,303.71250000000003,223.70416666666665,607.6999999999999,23705.079166666666,4233.433333333333,-4859.754166666667,17735.241666666665,136267.09375,67742.87083333333,451.0208333333333,3005.6583333333333,52.208333333333336,37.08958333333333,101858.31458333333,10213.495833333332,2674.9375,3754.745833333333,27424.641666666666
2023-11-12,,,8150.212500000001,4699.508333333333,23399.391666666666,1279.0,14309.758333333333,7440.027083333333,622.0041666666667,295.97083333333336,262.18333333333334,607.0124999999999,23288.399999999998,5088.291666666667,-4400.983333333334,18467.3125,130232.97708333335,66749.58333333333,444.7208333333333,2471.7166666666667,83.54166666666667,73.6875,101537.36875000001,10203.766666666666,2687.3375,2115.3875000000003,22536.01875
2023-11-13,,,8139.820833333334,3597.3104166666667,21810.583333333332,1207.6875,17961.339583333334,8290.487500000001,596.2541666666667,300.5833333333333,347.42499999999995,602.2416666666667,24221.891666666666,6610.320833333332,-4014.8916666666664,21520.341666666667,152494.92083333334,66065.7375,454.7916666666667,3520.695833333333,81.97916666666667,66.89791666666666,110179.90208333333,10521.295833333334,2643.6541666666667,8357.204166666666,32875.768749999996
2023-11-14,,,8297.012499999999,2830.258333333333,16379.383333333333,1244.3,17474.61276595745,7591.551063829787,562.7531914893617,306.0125,391.73333333333335,599.4125,25317.141666666666,5451.658333333334,-5422.041666666667,19787.679166666665,154554.45416666666,67682.50416666667,456.33750000000003,3754.653191489362,84.4,66.16808510638297,102487.94583333335,10279.145833333334,2544.795833333333,9469.012499999999,43090.14255319149
2023-11-15,,,8445.8375,3108.289583333333,23055.9875,1306.0166666666667,21108.966666666667,9361.860416666666,747.2062500000001,299.53749999999997,523.3333333333334,605.5291666666667,25571.5,6469.4375,-3657.933333333333,21283.216666666667,158399.41914893617,68819.72083333334,452.1583333333333,3933.2645833333336,68.26875,63.840425531914896,121948.61063829788,11498.541666666666,2652.7166666666667,8389.220833333333,25748.19583333333
2023-11-16,,,8417.741666666667,5410.114583333333,24715.17916666667,1346.5541666666666,25725.260416666668,10994.739583333334,771.7041666666668,310.9291666666667,573.6708333333333,649.6833333333333,25368.649999999998,6329.675,-3263.2000000000003,21426.445833333335,156936.62916666668,70648.49166666667,459.95416666666665,3098.441666666667,49.4625,34.43958333333333,127223.55625000001,10297.204166666666,2825.6375000000003,4068.5166666666664,22530.21875
2023-11-17,,,8119.866666666666,5228.164583333333,27178.087499999998,1392.8333333333333,24413.068750000002,11257.779166666667,640.5541666666667,314.05,508.1875,656.6958333333333,25869.395833333332,7546.129166666667,-2743.1625,22268.829166666666,155402.71458333332,72068.7625,463.6958333333334,3171.2083333333335,53.83958333333334,45.40833333333333,129769.21666666666,10608.070833333333,2815.6083333333336,2005.0041666666666,19326.952083333334
2023-11-18,,,8132.133333333334,3084.5729166666665,20793.020833333332,1398.8999999999999,14864.066666666668,6786.256249999999,560.5145833333333,303.4291666666667,451.17083333333335,661.3874999999999,24929.0,4051.0791666666664,-3554.504166666667,20311.958333333332,139707.69375,71998.10833333334,459.0291666666667,3058.9208333333336,91.00208333333335,86.26666666666667,104336.10208333335,11960.754166666666,2833.15,10044.9625,24368.74166666667
2023-11-19,,,8029.849999999999,-266.10625000000005,13627.270833333334,1429.5583333333334,12631.856249999999,5934.785416666667,559.1583333333333,289.6875,456.1458333333333,654.3958333333334,23537.204166666666,3873.0375,-8270.016666666666,17403.3,131240.74166666667,66204.71666666666,455.0708333333334,3425.6541666666667,87.61874999999999,78.6125,87273.68333333333,12290.683333333334,2787.1458333333335,11560.0,32041.72708333333
