Date,Storage(TWh)
2022-02-14,364.4237
2022-02-15,360.3072
2022-02-16,356.9757
2022-02-17,354.4056
2022-02-18,351.7258
2022-02-19,349.2588
2022-02-20,347.3623
2022-02-21,343.7363
2022-02-22,340.0494
2022-02-23,336.967
2022-02-24,334.1767
2022-02-25,331.4167
2022-02-26,329.5142
2022-02-27,327.7781
2022-02-28,323.9264
2022-03-01,320.018
2022-03-02,316.3522
2022-03-03,312.9677
2022-03-04,309.9788
2022-03-05,307.9094
2022-03-06,305.5945
2022-03-07,301.3755
2022-03-08,297.842
2022-03-09,295.1212
2022-03-10,294.1433
2022-03-11,292.9763
2022-03-12,292.9924
2022-03-13,292.9607
2022-03-14,290.9945
2022-03-15,289.226
2022-03-16,288.0839
2022-03-17,287.1092
2022-03-18,286.4804
2022-03-19,285.4293
2022-03-20,287.6582
2022-03-21,287.0232
2022-03-22,287.0366
2022-03-23,287.473
2022-03-24,288.8328
2022-03-25,290.2077
2022-03-26,292.6377
2022-03-27,295.2473
2022-03-28,296.4385
2022-03-29,297.5422
2022-03-30,297.8521
2022-03-31,293.761
2022-04-01,293.897
2022-04-02,293.4023
2022-04-03,292.7519
2022-04-04,291.7666
2022-04-05,291.2176
2022-04-06,292.5942
2022-04-07,294.2388
2022-04-08,295.9217
2022-04-09,297.9926
2022-04-10,300.3703
2022-04-11,301.6242
2022-04-12,304.1278
2022-04-13,307.0514
2022-04-14,310.4633
2022-04-15,315.2153
2022-04-16,319.9148
2022-04-17,324.7294
2022-04-18,329.2962
2022-04-19,332.4172
2022-04-20,335.1868
2022-04-21,338.2845
2022-04-22,341.8817
2022-04-23,346.3989
2022-04-24,351.0869
2022-04-25,354.0308
2022-04-26,356.3135
2022-04-27,358.4407
2022-04-28,361.4656
2022-04-29,364.7967
2022-04-30,368.7328
2022-05-01,373.7964
2022-05-02,378.1233
2022-05-03,382.5679
2022-05-04,386.9052
2022-05-05,391.4184
2022-05-06,396.1074
2022-05-07,401.8442
2022-05-08,407.5155
2022-05-09,412.3347
2022-05-10,416.9331
2022-05-11,421.8772
2022-05-12,426.6538
2022-05-13,432.2637
2022-05-14,438.4219
2022-05-15,444.8755
2022-05-16,449.6483
2022-05-17,454.0455
2022-05-18,458.4326
2022-05-19,463.2931
2022-05-20,468.4334
2022-05-21,474.3776
2022-05-22,480.2333
2022-05-23,485.0387
2022-05-24,489.708
2022-05-25,494.729
2022-05-26,500.0618
2022-05-27,505.3683
2022-05-28,510.7558
2022-05-29,515.9441
2022-05-30,519.5383
2022-05-31,522.7593
2022-06-01,526.5777
2022-06-02,531.0707
2022-06-03,535.7671
2022-06-04,541.3408
2022-06-05,546.9115
2022-06-06,551.9051
2022-06-07,555.7274
2022-06-08,558.6392
2022-06-09,561.2394
2022-06-10,563.8665
2022-06-11,569.6185
2022-06-12,575.3248
2022-06-13,580.0739
2022-06-14,583.7135
2022-06-15,587.3955
2022-06-16,591.0715
2022-06-17,594.8578
2022-06-18,599.6499
2022-06-19,604.4824
2022-06-20,608.0218
2022-06-21,614.054
2022-06-22,617.0949
2022-06-23,620.1468
2022-06-24,623.7243
2022-06-25,628.502
2022-06-26,633.3563
2022-06-27,636.6311
2022-06-28,640.1583
2022-06-29,643.4265
2022-06-30,646.506
2022-07-01,650.7038
2022-07-02,655.4738
2022-07-03,660.5334
2022-07-04,664.6153
2022-07-05,668.5845
2022-07-06,672.5842
2022-07-07,676.4676
2022-07-08,680.3679
2022-07-09,685.6538
2022-07-10,690.8969
2022-07-11,693.5519
2022-07-12,696.433
2022-07-13,699.5628
2022-07-14,703.0542
2022-07-15,706.7668
2022-07-16,711.5183
2022-07-17,716.0245
2022-07-18,719.3617
2022-07-19,722.1142
2022-07-20,724.8959
2022-07-21,727.9941
2022-07-22,731.8093
2022-07-23,736.5857
2022-07-24,741.7096
2022-07-25,746.0328
2022-07-26,750.0578
2022-07-27,753.9249
2022-07-28,757.7655
2022-07-29,761.4913
2022-07-30,766.1234
2022-07-31,770.3283
2022-08-01,774.7829
2022-08-02,779.0509
2022-08-03,783.0479
2022-08-04,786.1631
2022-08-05,790.2438
2022-08-06,795.267
2022-08-07,800.4608
2022-08-08,804.6915
2022-08-09,809.0264
2022-08-10,813.5197
2022-08-11,817.6375
2022-08-12,821.9575
2022-08-13,826.8823
2022-08-14,831.7792
2022-08-15,836.2396
2022-08-16,840.2262
2022-08-17,843.8238
2022-08-18,847.6932
2022-08-19,851.8611
2022-08-20,856.726
2022-08-21,861.512
2022-08-22,865.1155
2022-08-23,868.6321
2022-08-24,872.3581
2022-08-25,876.1216
2022-08-26,879.6624
2022-08-27,883.9365
2022-08-28,888.3667
2022-08-29,891.4736
2022-08-30,894.4697
2022-08-31,895.7715
2022-09-01,899.7772
2022-09-02,903.0806
2022-09-03,907.5318
2022-09-04,912.133
2022-09-05,915.5598
2022-09-06,918.8292
2022-09-07,921.365
2022-09-08,924.7981
2022-09-09,928.0413
2022-09-10,931.9245
2022-09-11,935.8973
2022-09-12,938.707
2022-09-13,941.3366
2022-09-14,943.8733
2022-09-15,946.6639
2022-09-16,950.3228
2022-09-17,954.4169
2022-09-18,958.4001
2022-09-19,960.9462
2022-09-20,963.3722
2022-09-21,965.738
2022-09-22,968.2078
2022-09-23,970.8637
2022-09-24,974.28
2022-09-25,977.8193
2022-09-26,980.3369
2022-09-27,982.523
2022-09-28,984.1002
2022-09-29,986.1431
2022-09-30,987.4342
2022-10-01,991.0759
2022-10-02,994.9371
2022-10-03,997.7611
2022-10-04,1000.1963
2022-10-05,1002.9346
2022-10-06,1005.7536
2022-10-07,1008.5687
2022-10-08,1012.1288
2022-10-09,1015.4058
2022-10-10,1017.8079
